match_id,series_id,match_details,result,Team1,Score1,Team2,Score2,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs
598042,586733,"46th match:PWI v RCB at Pune- May 2, 2013",RCB won by 17 runs,RCB,187,PWI,170,2/5/2013,Pune,46th match,PWI,RCB,RCB,17,,,RCB,187,3,20,20,PWI,170,9,20,20
598043,586733,"47th match:KKR v RR at Kolkata- May 3, 2013",KKR won by 8 wickets (with 16 balls remaining),RR,132,KKR,133,3/5/2013,Kolkata,47th match,KKR,RR,KKR,,8,16,RR,132,6,20,20,KKR,133,2,17.2,20
598044,586733,"48th match:SRH v DD at Hyderabad (Deccan)- May 4, 2013",SRH won by 6 wickets (with 37 balls remaining),DD,80,SRH,81,4/5/2013,Hyderabad (Deccan),48th match,SRH,DD,SRH,,6,37,DD,80,10,19.1,20,SRH,81,4,13.5,20
598046,586733,"49th match:MI v CSK at Mumbai- May 5, 2013",MI won by 60 runs,MI,139,CSK,79,5/5/2013,Mumbai,49th match,MI,CSK,MI,60,,,MI,139,5,20,20,CSK,79,10,15.2,20
598047,586733,"50th match:RR v PWI at Jaipur- May 5, 2013",RR won by 5 wickets (with 1 ball remaining),PWI,178,RR,182,5/5/2013,Jaipur,50th match,RR,PWI,RR,,5,1,PWI,178,4,20,20,RR,182,5,19.5,20
598064,586733,"51st match:KXIP v RCB at Mohali- May 6, 2013",KXIP won by 6 wickets (with 12 balls remaining),RCB,190,KXIP,194,6/5/2013,Mohali,51st match,KXIP,RCB,KXIP,,6,12,RCB,190,3,20,20,KXIP,194,4,18,20
598049,586733,"52nd match:RR v DD at Jaipur- May 7, 2013",RR won by 9 wickets (with 13 balls remaining),DD,154,RR,155,7/5/2013,Jaipur,52nd match,RR,DD,RR,,9,13,DD,154,4,20,20,RR,155,1,17.5,20
598050,586733,"53rd match:MI v KKR at Mumbai- May 7, 2013",MI won by 65 runs,MI,170,KKR,105,7/5/2013,Mumbai,53rd match,MI,KKR,MI,65,,,MI,170,6,20,20,KKR,105,10,18.2,20
598051,586733,"54th match:SRH v CSK at Hyderabad (Deccan)- May 8, 2013",CSK won by 77 runs,CSK,223,SRH,146,8/5/2013,Hyderabad (Deccan),54th match,SRH,CSK,CSK,77,,,CSK,223,3,20,20,SRH,146,8,20,20
598052,586733,"55th match:KXIP v RR at Mohali- May 9, 2013",RR won by 8 wickets (with 6 balls remaining),KXIP,145,RR,147,9/5/2013,Mohali,55th match,KXIP,RR,RR,,8,6,KXIP,145,6,20,20,RR,147,2,19,20
598053,586733,"56th match:PWI v KKR at Pune- May 9, 2013",KKR won by 46 runs,KKR,152,PWI,106,9/5/2013,Pune,56th match,PWI,KKR,KKR,46,,,KKR,152,6,20,20,PWI,106,10,19.3,20
598054,586733,"57th match:DD v RCB at Delhi- May 10, 2013",RCB won by 4 runs,RCB,183,DD,179,10/5/2013,Delhi,57th match,DD,RCB,RCB,4,,,RCB,183,4,20,20,DD,179,7,20,20
598055,586733,"58th match:PWI v MI at Pune- May 11, 2013",MI won by 5 wickets (with 7 balls remaining),PWI,112,MI,116,11/5/2013,Pune,58th match,PWI,MI,MI,,5,7,PWI,112,8,20,20,MI,116,5,18.5,20
598056,586733,"59th match:KXIP v SRH at Mohali- May 11, 2013",SRH won by 30 runs,SRH,150,KXIP,120,11/5/2013,Mohali,59th match,KXIP,SRH,SRH,30,,,SRH,150,7,20,20,KXIP,120,9,20,20
598057,586733,"60th match:KKR v RCB at Ranchi- May 12, 2013",KKR won by 5 wickets (with 4 balls remaining),RCB,115,KKR,116,12/5/2013,Ranchi,60th match,KKR,RCB,KKR,,5,4,RCB,115,9,20,20,KKR,116,5,19.2,20
598058,586733,"61st match:RR v CSK at Jaipur- May 12, 2013",RR won by 5 wickets (with 17 balls remaining),CSK,141,RR,144,12/5/2013,Jaipur,61st match,RR,CSK,RR,,5,17,CSK,141,4,20,20,RR,144,5,17.1,20
598060,586733,"62nd match:MI v SRH at Mumbai- May 13, 2013",MI won by 7 wickets (with 3 balls remaining),SRH,178,MI,184,13/05/13,Mumbai,62nd match,MI,SRH,MI,,7,3,SRH,178,3,20,20,MI,184,3,19.3,20
598045,586733,"63rd match:RCB v KXIP at Bangalore- May 14, 2013",KXIP won by 7 wickets (with 11 balls remaining),RCB,174,KXIP,176,14/05/13,Bangalore,63rd match,RCB,KXIP,KXIP,,7,11,RCB,174,5,20,20,KXIP,176,3,18.1,20
